areaId,N1,w_total,Peri,Malabo,Baney,Luba,Riaba,Moka,Ureka,N2.ti_mal,N2.ti_ban,N2.ti_lub,N2.ti_ria,N2.ti_mok,N2.ti_ure,N2.to,t.ti_mal,t.ti_ban,t.ti_lub,t.ti_ria,t.ti_mok,t.ti_ure,t.to,t_mal,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure,d.to,d.ti_ban,d.ti_mal,d.ti_lub,d.ti_ria,d.ti_mok,d.ti_ure,d_mal
271,47,4,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,7.83318385829885,21.9432929234324,72.8533039694737,76.0389207711538,93.849837754,124.2858091,147.833183858299,7.83318385829885,4,0,0,0,0,0,0,240862.283547468,12119.2490335012,5376.26843486041,37054.4301422161,37213.3493782803,45445.8108306156,57917.0418404658,5376.26843486041
272,247,7,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,7.78998300267816,21.3878818403784,73.4087150523684,75.726903215,94.405248844,124.8412202,147.789983002678,7.78998300267816,7,0,0,0,0,0,0,239905.696289703,11162.413835845,4419.6811770953,37545.2345433895,37132.9374814659,45623.0037910723,58200.5738912523,4419.6811770953
273,302,20,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,7.80367101235632,20.8324707563243,73.9641261357895,75.3666399353846,94.960659934,125.3966313,147.803671012356,7.80367101235632,20,0,0,0,0,0,0,238972.751011593,10213.581223524,3486.73589898499,38055.9261228531,37079.2647090775,45821.2889827978,58499.7895262352,3486.73589898499
274,545,11,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,7.99389874210345,20.2770596725135,74.5195372165789,74.9821245680769,95.516071024,125.9520424,147.993898742103,7.99389874210345,10,0,0,1,0,0,0,238088.993482645,9275.20748837693,2602.97837003689,38585.7151827011,37052.4473150058,46040.3939007809,58814.4493768203,2602.97837003689
275,841,29,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,8.11895572326437,19.7216485897838,75.0749483021053,74.5676768269231,96.071482114,126.5074535,148.118955723264,8.11895572326437,29,0,0,0,0,0,0,237326.689889668,8350.81862642139,1840.67477705946,39133.8260795565,37052.5434482358,46280.0227448695,59144.3068771709,1840.67477705946
276,3237,149,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,8.25926274463218,19.1662375053243,75.6303593892105,74.0883303584615,96.626893186,127.0628645,148.259262744632,8.25926274463218,121,13,2,8,2,3,0,236898.490123699,7445.62510019246,1412.4750110908,39699.4999184788,37079.5529465767,46539.8585199484,59489.1092502027,1412.4750110908
277,11034,471,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,8.72965851979311,18.3331208804054,76.46347601,73.26427123,97.46000982,127.8959812,148.729658519793,8.72965851979311,406,26,1,30,7,1,0,237097.380549439,6567.56817105911,1611.36543683061,40281.9968713204,37133.417039491,46819.5648114813,59848.5982316252,1611.36543683061
278,13054,472,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,9.53822423417242,16.4004219111351,78.0778805560526,71.3203324369231,99.074414348,129.5103857,149.538224234172,9.53822423417242,369,45,2,35,18,3,0,237764.681030711,5729.13829171209,2278.66591810284,40880.5975821887,37214.0189591393,47118.7875660934,60222.5106199031,2278.66591810284
279,10886,306,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.994604125908,17.3195266468378,79.4881935213158,72.2690424761538,100.484727328,130.9206987,150.994604125908,10.994604125908,207,40,5,36,13,5,0,238613.720698612,4950.5100521421,3127.7055860039,41494.6052710851,37321.1855372907,47437.157584834,60610.5796138234,3127.7055860039
280,308,4,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,11.6436130501609,16.6519948763514,79.969890495,71.63990676,100.966424308,131.4023957,151.643613050161,11.6436130501609,3,0,0,1,0,0,0,239531.650494283,4264.56590636847,4045.63538167516,42123.3460444165,37454.6886820507,47774.2919736444,61012.5349789894,4045.63538167516
281,551,24,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,12.2280617012988,16.1404938478108,80.5253068363158,71.0844904188461,101.521840636,131.957812,152.228061701299,12.2280617012988,22,0,1,1,0,0,0,240480.63100789,3722.89365132426,4994.61589528179,42766.1702325719,37614.2478824038,48129.7964275556,61428.1041635788,4994.61589528179
282,1568,107,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,11.3530710337011,14.7787346868649,79.6503161723684,69.4232838230769,100.646849954,131.0828213,151.353071033701,11.3530710337011,63,1,32,8,3,0,0,241445.847671105,3395.26042304868,5959.83255849726,43422.4522239544,37799.5331912285,48503.2669771468,61857.0127306541,5959.83255849726
